county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,U.S. House,NA,Republican,Paul D. Beaudry,35
Orleans,Albany,NA,U.S. House,NA,Republican,Paul D. Beaudry,52
Grand Isle,Alburgh,NA,U.S. House,NA,Republican,Paul D. Beaudry,71
Windsor,Andover,NA,U.S. House,NA,Republican,Paul D. Beaudry,9
Bennington,Arlington,NA,U.S. House,NA,Republican,Paul D. Beaudry,16
Windham,Athens,NA,U.S. House,NA,Republican,Paul D. Beaudry,3
Franklin,Bakersfield,NA,U.S. House,NA,Republican,Paul D. Beaudry,35
Windsor,Baltimore,NA,U.S. House,NA,Republican,Paul D. Beaudry,0
Windsor,Barnard,NA,U.S. House,NA,Republican,Paul D. Beaudry,10
Caledonia,Barnet,NA,U.S. House,NA,Republican,Paul D. Beaudry,45
Washington,Barre City,Washington 3-1,U.S. House,NA,Republican,Paul D. Beaudry,105
Washington,Barre City,Washington 3-2,U.S. House,NA,Republican,Paul D. Beaudry,74
Washington,Barre City,Washington 3-3,U.S. House,NA,Republican,Paul D. Beaudry,9
Washington,Barre Town,NA,U.S. House,NA,Republican,Paul D. Beaudry,315
Orleans,Barton,NA,U.S. House,NA,Republican,Paul D. Beaudry,79
Lamoille,Belvidere,NA,U.S. House,NA,Republican,Paul D. Beaudry,13
Bennington,Bennington,Bennington 2-1,U.S. House,NA,Republican,Paul D. Beaudry,21
Bennington,Bennington,Bennington 2-2,U.S. House,NA,Republican,Paul D. Beaudry,43
Rutland,Benson,NA,U.S. House,NA,Republican,Paul D. Beaudry,10
Franklin,Berkshire,NA,U.S. House,NA,Republican,Paul D. Beaudry,39
Washington,Berlin,NA,U.S. House,NA,Republican,Paul D. Beaudry,62
Windsor,Bethel,NA,U.S. House,NA,Republican,Paul D. Beaudry,28
Essex,Bloomfield,NA,U.S. House,NA,Republican,Paul D. Beaudry,6
Chittenden,Bolton,NA,U.S. House,NA,Republican,Paul D. Beaudry,30
Orange,Bradford,NA,U.S. House,NA,Republican,Paul D. Beaudry,47
Orange,Braintree,NA,U.S. House,NA,Republican,Paul D. Beaudry,42
Rutland,Brandon,NA,U.S. House,NA,Republican,Paul D. Beaudry,23
Windham,Brattleboro,Windham 3-1,U.S. House,NA,Republican,Paul D. Beaudry,21
Windham,Brattleboro,Windham 3-2,U.S. House,NA,Republican,Paul D. Beaudry,10
Windham,Brattleboro,Windham 3-3,U.S. House,NA,Republican,Paul D. Beaudry,5
Windsor,Bridgewater,NA,U.S. House,NA,Republican,Paul D. Beaudry,8
Addison,Bridport,NA,U.S. House,NA,Republican,Paul D. Beaudry,38
Essex,Brighton,NA,U.S. House,NA,Republican,Paul D. Beaudry,37
Addison,Bristol,NA,U.S. House,NA,Republican,Paul D. Beaudry,74
Orange,Brookfield,NA,U.S. House,NA,Republican,Paul D. Beaudry,37
Windham,Brookline,NA,U.S. House,NA,Republican,Paul D. Beaudry,5
Orleans,Brownington,NA,U.S. House,NA,Republican,Paul D. Beaudry,14
Essex,Brunswick,NA,U.S. House,NA,Republican,Paul D. Beaudry,6
Caledonia,Burke,NA,U.S. House,NA,Republican,Paul D. Beaudry,30
Chittenden,Burlington,Chittenden 3-1,U.S. House,NA,Republican,Paul D. Beaudry,140
Chittenden,Burlington,Chittenden 3-2,U.S. House,NA,Republican,Paul D. Beaudry,72
Chittenden,Burlington,Chittenden 3-3,U.S. House,NA,Republican,Paul D. Beaudry,43
Chittenden,Burlington,Chittenden 3-4,U.S. House,NA,Republican,Paul D. Beaudry,25
Chittenden,Burlington,Chittenden 3-5,U.S. House,NA,Republican,Paul D. Beaudry,68
Chittenden,Burlington,Chittenden 3-6,U.S. House,NA,Republican,Paul D. Beaudry,7
Washington,Cabot,NA,U.S. House,NA,Republican,Paul D. Beaudry,22
Washington,Calais,NA,U.S. House,NA,Republican,Paul D. Beaudry,48
Lamoille,Cambridge,NA,U.S. House,NA,Republican,Paul D. Beaudry,70
Essex,Canaan,NA,U.S. House,NA,Republican,Paul D. Beaudry,10
Rutland,Castleton,NA,U.S. House,NA,Republican,Paul D. Beaudry,49
Windsor,Cavendish,NA,U.S. House,NA,Republican,Paul D. Beaudry,14
Orleans,Charleston,NA,U.S. House,NA,Republican,Paul D. Beaudry,29
Chittenden,Charlotte,NA,U.S. House,NA,Republican,Paul D. Beaudry,56
Orange,Chelsea,NA,U.S. House,NA,Republican,Paul D. Beaudry,26
Windsor,Chester,NA,U.S. House,NA,Republican,Paul D. Beaudry,21
Rutland,Chittenden,NA,U.S. House,NA,Republican,Paul D. Beaudry,25
Rutland,Clarendon,NA,U.S. House,NA,Republican,Paul D. Beaudry,30
Chittenden,Colchester,Chittenden 7-1,U.S. House,NA,Republican,Paul D. Beaudry,130
Chittenden,Colchester,Chittenden 7-2,U.S. House,NA,Republican,Paul D. Beaudry,162
Essex,Concord,NA,U.S. House,NA,Republican,Paul D. Beaudry,25
Orange,Corinth,NA,U.S. House,NA,Republican,Paul D. Beaudry,38
Addison,Cornwall,NA,U.S. House,NA,Republican,Paul D. Beaudry,27
Orleans,Coventry,NA,U.S. House,NA,Republican,Paul D. Beaudry,28
Orleans,Craftsbury,NA,U.S. House,NA,Republican,Paul D. Beaudry,22
Rutland,Danby,NA,U.S. House,NA,Republican,Paul D. Beaudry,6
Caledonia,Danville,NA,U.S. House,NA,Republican,Paul D. Beaudry,63
Orleans,Derby,NA,U.S. House,NA,Republican,Paul D. Beaudry,149
Bennington,Dorset,NA,U.S. House,NA,Republican,Paul D. Beaudry,15
Windham,Dover,NA,U.S. House,NA,Republican,Paul D. Beaudry,12
Windham,Dummerston,NA,U.S. House,NA,Republican,Paul D. Beaudry,13
Washington,Duxbury,NA,U.S. House,NA,Republican,Paul D. Beaudry,33
Essex,E. Haven,NA,U.S. House,NA,Republican,Paul D. Beaudry,18
Washington,E. Montpelier,NA,U.S. House,NA,Republican,Paul D. Beaudry,63
Lamoille,Eden,NA,U.S. House,NA,Republican,Paul D. Beaudry,26
Lamoille,Elmore,NA,U.S. House,NA,Republican,Paul D. Beaudry,18
Franklin,Enosburgh,NA,U.S. House,NA,Republican,Paul D. Beaudry,66
Chittenden,Essex,Chittenden 6-1,U.S. House,NA,Republican,Paul D. Beaudry,148
Chittenden,Essex,Chittenden 6-2,U.S. House,NA,Republican,Paul D. Beaudry,191
Chittenden,Essex,Chittenden 6-3,U.S. House,NA,Republican,Paul D. Beaudry,63
Rutland,Fair Haven,NA,U.S. House,NA,Republican,Paul D. Beaudry,30
Franklin,Fairfax,NA,U.S. House,NA,Republican,Paul D. Beaudry,99
Franklin,Fairfield,NA,U.S. House,NA,Republican,Paul D. Beaudry,59
Orange,Fairlee,NA,U.S. House,NA,Republican,Paul D. Beaudry,10
Washington,Fayston,NA,U.S. House,NA,Republican,Paul D. Beaudry,26
Addison,Ferrisburgh,NA,U.S. House,NA,Republican,Paul D. Beaudry,53
Franklin,Fletcher,NA,U.S. House,NA,Republican,Paul D. Beaudry,37
Franklin,Franklin,NA,U.S. House,NA,Republican,Paul D. Beaudry,62
Franklin,Georgia,NA,U.S. House,NA,Republican,Paul D. Beaudry,137
Orleans,Glover,NA,U.S. House,NA,Republican,Paul D. Beaudry,41
Addison,Goshen,NA,U.S. House,NA,Republican,Paul D. Beaudry,6
Windham,Grafton,NA,U.S. House,NA,Republican,Paul D. Beaudry,11
Essex,Granby,NA,U.S. House,NA,Republican,Paul D. Beaudry,3
Grand Isle,Grand Isle,NA,U.S. House,NA,Republican,Paul D. Beaudry,73
Addison,Granville,NA,U.S. House,NA,Republican,Paul D. Beaudry,1
Orleans,Greensboro,NA,U.S. House,NA,Republican,Paul D. Beaudry,22
Caledonia,Groton,NA,U.S. House,NA,Republican,Paul D. Beaudry,32
Essex,Guildhall,NA,U.S. House,NA,Republican,Paul D. Beaudry,6
Windham,Guilford,NA,U.S. House,NA,Republican,Paul D. Beaudry,11
Windham,Halifax,NA,U.S. House,NA,Republican,Paul D. Beaudry,6
Addison,Hancock,NA,U.S. House,NA,Republican,Paul D. Beaudry,4
Caledonia,Hardwick,NA,U.S. House,NA,Republican,Paul D. Beaudry,47
Windsor,Hartford,Windsor 6-1,U.S. House,NA,Republican,Paul D. Beaudry,12
Windsor,Hartford,Windsor 6-2,U.S. House,NA,Republican,Paul D. Beaudry,32
Windsor,Hartland,NA,U.S. House,NA,Republican,Paul D. Beaudry,21
Franklin,Highgate,NA,U.S. House,NA,Republican,Paul D. Beaudry,96
Chittenden,Hinesburg,Chittenden 1-1,U.S. House,NA,Republican,Paul D. Beaudry,64
Chittenden,Hinesburg,Chittenden 1-2,U.S. House,NA,Republican,Paul D. Beaudry,4
Orleans,Holland,NA,U.S. House,NA,Republican,Paul D. Beaudry,13
Rutland,Hubbardton,NA,U.S. House,NA,Republican,Paul D. Beaudry,9
Chittenden,Huntington,NA,U.S. House,NA,Republican,Paul D. Beaudry,37
Lamoille,Hyde Park,NA,U.S. House,NA,Republican,Paul D. Beaudry,80
Rutland,Ira,Rutland 1-1,U.S. House,NA,Republican,Paul D. Beaudry,1
Rutland,Ira,Rutland 1-2,U.S. House,NA,Republican,Paul D. Beaudry,9
Orleans,Irasburg,NA,U.S. House,NA,Republican,Paul D. Beaudry,43
Grand Isle,Isle La Motte,NA,U.S. House,NA,Republican,Paul D. Beaudry,19
Windham,Jamaica,NA,U.S. House,NA,Republican,Paul D. Beaudry,2
Orleans,Jay,NA,U.S. House,NA,Republican,Paul D. Beaudry,11
Chittenden,Jericho,NA,U.S. House,NA,Republican,Paul D. Beaudry,155
Lamoille,Johnson,NA,U.S. House,NA,Republican,Paul D. Beaudry,49
