county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,Secretary of State,NA,Republican,Cheryl Moomey,104
Orleans,Albany,NA,Secretary of State,NA,Republican,Cheryl Moomey,58
Grand Isle,Alburgh,NA,Secretary of State,NA,Republican,Cheryl Moomey,95
Windsor,Andover,NA,Secretary of State,NA,Republican,Cheryl Moomey,35
Bennington,Arlington,NA,Secretary of State,NA,Republican,Cheryl Moomey,115
Windham,Athens,NA,Secretary of State,NA,Republican,Cheryl Moomey,11
Franklin,Bakersfield,NA,Secretary of State,NA,Republican,Cheryl Moomey,46
Windsor,Baltimore,NA,Secretary of State,NA,Republican,Cheryl Moomey,12
Windsor,Barnard,NA,Secretary of State,NA,Republican,Cheryl Moomey,44
Caledonia,Barnet,NA,Secretary of State,NA,Republican,Cheryl Moomey,96
Washington,Barre City,Washington 3-1,Secretary of State,NA,Republican,Cheryl Moomey,212
Washington,Barre City,Washington 3-2,Secretary of State,NA,Republican,Cheryl Moomey,163
Washington,Barre City,Washington 3-3,Secretary of State,NA,Republican,Cheryl Moomey,22
Washington,Barre Town,NA,Secretary of State,NA,Republican,Cheryl Moomey,525
Orleans,Barton,NA,Secretary of State,NA,Republican,Cheryl Moomey,121
Lamoille,Belvidere,NA,Secretary of State,NA,Republican,Cheryl Moomey,22
Bennington,Bennington,Bennington 2-1,Secretary of State,NA,Republican,Cheryl Moomey,159
Bennington,Bennington,Bennington 2-1 Nb,Secretary of State,NA,Republican,Cheryl Moomey,29
Bennington,Bennington,Bennington 2-2,Secretary of State,NA,Republican,Cheryl Moomey,187
Bennington,Bennington,Bennington 5,Secretary of State,NA,Republican,Cheryl Moomey,11
Rutland,Benson,NA,Secretary of State,NA,Republican,Cheryl Moomey,34
Franklin,Berkshire,NA,Secretary of State,NA,Republican,Cheryl Moomey,45
Washington,Berlin,NA,Secretary of State,NA,Republican,Cheryl Moomey,118
Windsor,Bethel,NA,Secretary of State,NA,Republican,Cheryl Moomey,75
Essex,Bloomfield,NA,Secretary of State,NA,Republican,Cheryl Moomey,8
Chittenden,Bolton,NA,Secretary of State,NA,Republican,Cheryl Moomey,48
Orange,Bradford,NA,Secretary of State,NA,Republican,Cheryl Moomey,123
