county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,Secretary of State,NA,Democratic,Jim Condos,29
Orleans,Albany,NA,Secretary of State,NA,Democratic,Jim Condos,18
Grand Isle,Alburgh,NA,Secretary of State,NA,Democratic,Jim Condos,127
Windsor,Andover,NA,Secretary of State,NA,Democratic,Jim Condos,13
Bennington,Arlington,NA,Secretary of State,NA,Democratic,Jim Condos,36
Windham,Athens,NA,Secretary of State,NA,Democratic,Jim Condos,9
Franklin,Bakersfield,NA,Secretary of State,NA,Democratic,Jim Condos,28
Windsor,Baltimore,NA,Secretary of State,NA,Democratic,Jim Condos,2
Windsor,Barnard,NA,Secretary of State,NA,Democratic,Jim Condos,21
Caledonia,Barnet,NA,Secretary of State,NA,Democratic,Jim Condos,40
Washington,Barre City,NA,Secretary of State,NA,Democratic,Jim Condos,128
Washington,Barre Town,NA,Secretary of State,NA,Democratic,Jim Condos,61
Orleans,Barton,NA,Secretary of State,NA,Democratic,Jim Condos,24
Lamoille,Belvidere,NA,Secretary of State,NA,Democratic,Jim Condos,7
Bennington,Bennington,Bennington 2-1,Secretary of State,NA,Democratic,Jim Condos,631
Bennington,Bennington,Bennington 2-2,Secretary of State,NA,Democratic,Jim Condos,308
Rutland,Benson,NA,Secretary of State,NA,Democratic,Jim Condos,14
Franklin,Berkshire,NA,Secretary of State,NA,Democratic,Jim Condos,23
Washington,Berlin,NA,Secretary of State,NA,Democratic,Jim Condos,52
Windsor,Bethel,NA,Secretary of State,NA,Democratic,Jim Condos,27
Essex,Bloomfield,NA,Secretary of State,NA,Democratic,Jim Condos,7
Chittenden,Bolton,NA,Secretary of State,NA,Democratic,Jim Condos,20
Orange,Bradford,NA,Secretary of State,NA,Democratic,Jim Condos,25
Orange,Braintree,NA,Secretary of State,NA,Democratic,Jim Condos,11
Rutland,Brandon,NA,Secretary of State,NA,Democratic,Jim Condos,300
Windham,Brattleboro,Windham 2-1,Secretary of State,NA,Democratic,Jim Condos,208
Windham,Brattleboro,Windham 2-2,Secretary of State,NA,Democratic,Jim Condos,246
Windham,Brattleboro,Windham 2-3,Secretary of State,NA,Democratic,Jim Condos,298
Windsor,Bridgewater,NA,Secretary of State,NA,Democratic,Jim Condos,12
Addison,Bridport,NA,Secretary of State,NA,Democratic,Jim Condos,12
Essex,Brighton,NA,Secretary of State,NA,Democratic,Jim Condos,24
Addison,Bristol,NA,Secretary of State,NA,Democratic,Jim Condos,44
Orange,Brookfield,NA,Secretary of State,NA,Democratic,Jim Condos,29
Windham,Brookline,NA,Secretary of State,NA,Democratic,Jim Condos,47
Orleans,Brownington,NA,Secretary of State,NA,Democratic,Jim Condos,37
Essex,Brunswick,NA,Secretary of State,NA,Democratic,Jim Condos,9
Caledonia,Burke,NA,Secretary of State,NA,Democratic,Jim Condos,9
Chittenden,Burlington,Chittenden 6-1,Secretary of State,NA,Democratic,Jim Condos,409
Chittenden,Burlington,Chittenden 6-2,Secretary of State,NA,Democratic,Jim Condos,276
Chittenden,Burlington,Chittenden 6-3,Secretary of State,NA,Democratic,Jim Condos,118
Chittenden,Burlington,Chittenden 6-4,Secretary of State,NA,Democratic,Jim Condos,137
Chittenden,Burlington,Chittenden 6-5,Secretary of State,NA,Democratic,Jim Condos,367
Chittenden,Burlington,Chittenden 6-6,Secretary of State,NA,Democratic,Jim Condos,43
Chittenden,Burlington,Chittenden 6-7,Secretary of State,NA,Democratic,Jim Condos,3
Washington,Cabot,NA,Secretary of State,NA,Democratic,Jim Condos,24
Washington,Calais,NA,Secretary of State,NA,Democratic,Jim Condos,43
Lamoille,Cambridge,NA,Secretary of State,NA,Democratic,Jim Condos,53
Essex,Canaan,NA,Secretary of State,NA,Democratic,Jim Condos,7
Rutland,Castleton,NA,Secretary of State,NA,Democratic,Jim Condos,39
Windsor,Cavendish,NA,Secretary of State,NA,Democratic,Jim Condos,67
Orleans,Charleston,NA,Secretary of State,NA,Democratic,Jim Condos,15
Chittenden,Charlotte,NA,Secretary of State,NA,Democratic,Jim Condos,158
Orange,Chelsea,NA,Secretary of State,NA,Democratic,Jim Condos,23
Windsor,Chester,NA,Secretary of State,NA,Democratic,Jim Condos,62
Rutland,Chittenden,NA,Secretary of State,NA,Democratic,Jim Condos,23
Rutland,Clarendon,NA,Secretary of State,NA,Democratic,Jim Condos,24
Chittenden,Colchester,Chittenden 9-1,Secretary of State,NA,Democratic,Jim Condos,82
Chittenden,Colchester,Chittenden 9-2,Secretary of State,NA,Democratic,Jim Condos,128
Essex,Concord,NA,Secretary of State,NA,Democratic,Jim Condos,20
Orange,Corinth,NA,Secretary of State,NA,Democratic,Jim Condos,33
Addison,Cornwall,NA,Secretary of State,NA,Democratic,Jim Condos,44
Orleans,Coventry,NA,Secretary of State,NA,Democratic,Jim Condos,16
Orleans,Craftsbury,NA,Secretary of State,NA,Democratic,Jim Condos,42
Rutland,Danby,NA,Secretary of State,NA,Democratic,Jim Condos,46
Caledonia,Danville,NA,Secretary of State,NA,Democratic,Jim Condos,60
Orleans,Derby,NA,Secretary of State,NA,Democratic,Jim Condos,150
Bennington,Dorset,NA,Secretary of State,NA,Democratic,Jim Condos,93
Windham,Dover,NA,Secretary of State,NA,Democratic,Jim Condos,35
Windham,Dummerston,NA,Secretary of State,NA,Democratic,Jim Condos,168
Washington,Duxbury,NA,Secretary of State,NA,Democratic,Jim Condos,13
Essex,E. Haven,NA,Secretary of State,NA,Democratic,Jim Condos,10
Washington,E. Montpelier,NA,Secretary of State,NA,Democratic,Jim Condos,50
Lamoille,Eden,NA,Secretary of State,NA,Democratic,Jim Condos,10
Lamoille,Elmore,NA,Secretary of State,NA,Democratic,Jim Condos,29
Franklin,Enosburgh,NA,Secretary of State,NA,Democratic,Jim Condos,57
Chittenden,Essex,Chittenden 8-1,Secretary of State,NA,Democratic,Jim Condos,93
Chittenden,Essex,Chittenden 8-2,Secretary of State,NA,Democratic,Jim Condos,98
Chittenden,Essex,Chittenden 8-3,Secretary of State,NA,Democratic,Jim Condos,27
Rutland,Fair Haven,NA,Secretary of State,NA,Democratic,Jim Condos,31
Franklin,Fairfax,NA,Secretary of State,NA,Democratic,Jim Condos,64
Franklin,Fairfield,NA,Secretary of State,NA,Democratic,Jim Condos,43
Orange,Fairlee,NA,Secretary of State,NA,Democratic,Jim Condos,17
Washington,Fayston,NA,Secretary of State,NA,Democratic,Jim Condos,21
Addison,Ferrisburgh,NA,Secretary of State,NA,Democratic,Jim Condos,37
Franklin,Fletcher,NA,Secretary of State,NA,Democratic,Jim Condos,14
Franklin,Franklin,NA,Secretary of State,NA,Democratic,Jim Condos,45
Franklin,Georgia,NA,Secretary of State,NA,Democratic,Jim Condos,22
Orleans,Glover,NA,Secretary of State,NA,Democratic,Jim Condos,42
Addison,Goshen,NA,Secretary of State,NA,Democratic,Jim Condos,10
Windham,Grafton,NA,Secretary of State,NA,Democratic,Jim Condos,38
Essex,Granby,NA,Secretary of State,NA,Democratic,Jim Condos,3
Grand Isle,Grand Isle,NA,Secretary of State,NA,Democratic,Jim Condos,188
Addison,Granville,NA,Secretary of State,NA,Democratic,Jim Condos,11
Orleans,Greensboro,NA,Secretary of State,NA,Democratic,Jim Condos,45
Caledonia,Groton,NA,Secretary of State,NA,Democratic,Jim Condos,15
Essex,Guildhall,NA,Secretary of State,NA,Democratic,Jim Condos,7
Windham,Guilford,NA,Secretary of State,NA,Democratic,Jim Condos,115
Windham,Halifax,NA,Secretary of State,NA,Democratic,Jim Condos,17
Addison,Hancock,NA,Secretary of State,NA,Democratic,Jim Condos,12
Caledonia,Hardwick,NA,Secretary of State,NA,Democratic,Jim Condos,42
Windsor,Hartford,Windsor 4-1,Secretary of State,NA,Democratic,Jim Condos,20
Windsor,Hartford,Windsor 4-2,Secretary of State,NA,Democratic,Jim Condos,93
Windsor,Hartland,NA,Secretary of State,NA,Democratic,Jim Condos,65
Franklin,Highgate,NA,Secretary of State,NA,Democratic,Jim Condos,38
Chittenden,Hinesburg,Chittenden 4-1,Secretary of State,NA,Democratic,Jim Condos,2
Chittenden,Hinesburg,Chittenden 4-2,Secretary of State,NA,Democratic,Jim Condos,87
Orleans,Holland,NA,Secretary of State,NA,Democratic,Jim Condos,6
Rutland,Hubbardton,NA,Secretary of State,NA,Democratic,Jim Condos,2
Chittenden,Huntington,NA,Secretary of State,NA,Democratic,Jim Condos,63
Lamoille,Hyde Park,NA,Secretary of State,NA,Democratic,Jim Condos,55
Rutland,Ira,NA,Secretary of State,NA,Democratic,Jim Condos,11
Orleans,Irasburg,NA,Secretary of State,NA,Democratic,Jim Condos,10
Grand Isle,Isle La Motte,NA,Secretary of State,NA,Democratic,Jim Condos,45
Windham,Jamaica,NA,Secretary of State,NA,Democratic,Jim Condos,40
Orleans,Jay,NA,Secretary of State,NA,Democratic,Jim Condos,4
Chittenden,Jericho,NA,Secretary of State,NA,Democratic,Jim Condos,110
Lamoille,Johnson,NA,Secretary of State,NA,Democratic,Jim Condos,47
Rutland,Killington,NA,Secretary of State,NA,Democratic,Jim Condos,12
Caledonia,Kirby,NA,Secretary of State,NA,Democratic,Jim Condos,1
Bennington,Landgrove,NA,Secretary of State,NA,Democratic,Jim Condos,10
Addison,Leicester,NA,Secretary of State,NA,Democratic,Jim Condos,13
Essex,Lemington,NA,Secretary of State,NA,Democratic,Jim Condos,2
Addison,Lincoln,NA,Secretary of State,NA,Democratic,Jim Condos,43
Windham,Londonderry,NA,Secretary of State,NA,Democratic,Jim Condos,25
Orleans,Lowell,NA,Secretary of State,NA,Democratic,Jim Condos,19
Windsor,Ludlow,NA,Secretary of State,NA,Democratic,Jim Condos,18
Essex,Lunenburg,NA,Secretary of State,NA,Democratic,Jim Condos,12
Caledonia,Lyndon,NA,Secretary of State,NA,Democratic,Jim Condos,41
Essex,Maidstone,NA,Secretary of State,NA,Democratic,Jim Condos,4
Bennington,Manchester,NA,Secretary of State,NA,Democratic,Jim Condos,66
Windham,Marlboro,NA,Secretary of State,NA,Democratic,Jim Condos,110
Washington,Marshfield,NA,Secretary of State,NA,Democratic,Jim Condos,34
Rutland,Mendon,NA,Secretary of State,NA,Democratic,Jim Condos,13
Addison,Middlebury,NA,Secretary of State,NA,Democratic,Jim Condos,517
Washington,Middlesex,NA,Secretary of State,NA,Democratic,Jim Condos,46
Rutland,Middletown Springs,NA,Secretary of State,NA,Democratic,Jim Condos,30
Chittenden,Milton,Chittenden 10,Secretary of State,NA,Democratic,Jim Condos,88
Chittenden,Milton,Grand Isle-Chittenden,Secretary of State,NA,Democratic,Jim Condos,18
Addison,Monkton,NA,Secretary of State,NA,Democratic,Jim Condos,39
Franklin,Montgomery,NA,Secretary of State,NA,Democratic,Jim Condos,39
Washington,Montpelier,NA,Secretary of State,NA,Democratic,Jim Condos,316
Washington,Moretown,NA,Secretary of State,NA,Democratic,Jim Condos,16
Orleans,Morgan,NA,Secretary of State,NA,Democratic,Jim Condos,11
Lamoille,Morristown,NA,Secretary of State,NA,Democratic,Jim Condos,103
Rutland,Mount Holly,NA,Secretary of State,NA,Democratic,Jim Condos,26
Rutland,Mount Tabor,NA,Secretary of State,NA,Democratic,Jim Condos,6
Addison,New Haven,NA,Secretary of State,NA,Democratic,Jim Condos,37
Caledonia,Newark,NA,Secretary of State,NA,Democratic,Jim Condos,7
Orange,Newbury,NA,Secretary of State,NA,Democratic,Jim Condos,30
Windham,Newfane,NA,Secretary of State,NA,Democratic,Jim Condos,119
Orleans,Newport City,NA,Secretary of State,NA,Democratic,Jim Condos,60
Orleans,Newport Town,NA,Secretary of State,NA,Democratic,Jim Condos,18
Grand Isle,N. Hero,NA,Secretary of State,NA,Democratic,Jim Condos,97
Washington,Northfield,NA,Secretary of State,NA,Democratic,Jim Condos,37
Essex,Norton,NA,Secretary of State,NA,Democratic,Jim Condos,4
Windsor,Norwich,NA,Secretary of State,NA,Democratic,Jim Condos,562
Orange,Orange,NA,Secretary of State,NA,Democratic,Jim Condos,9
Addison,Orwell,NA,Secretary of State,NA,Democratic,Jim Condos,25
Addison,Panton,NA,Secretary of State,NA,Democratic,Jim Condos,13
Rutland,Pawlet,NA,Secretary of State,NA,Democratic,Jim Condos,32
Caledonia,Peacham,NA,Secretary of State,NA,Democratic,Jim Condos,37
Bennington,Peru,NA,Secretary of State,NA,Democratic,Jim Condos,18
